subject,awareness,variance_mean,peak_to_peak_mean
10,Unseen,3.027877382206314e-11,2.6577930395805212e-05
10,Unseen,2.701231403653903e-11,2.3919554444967527e-05
10,Unseen,3.216383121232721e-11,2.7120317271427725e-05
10,Unseen,2.5233186143222168e-11,2.371130062237612e-05
10,Unseen,2.9251004077112556e-11,2.5523515746433516e-05
10,Unseen,3.000963618547767e-11,2.65790020892209e-05
10,Seen,3.99568561019589e-11,2.6151553315144727e-05
10,Seen,3.8247481491526214e-11,2.6827055621451427e-05
10,Unseen,4.08776544089143e-11,2.755987919968851e-05
10,Seen,6.665573786214278e-11,4.243466468619033e-05
10,Unseen,2.9941047865278114e-11,2.7555933934743387e-05
10,Unseen,4.259536966542835e-11,3.117074240792158e-05
10,Unseen,3.7535415277540315e-11,3.120946277721941e-05
10,Unseen,2.1967613151887096e-11,2.290093707529496e-05
10,Seen,3.471258176606983e-11,2.52611860720309e-05
10,Unseen,2.2444646636055423e-11,2.27534035447428e-05
10,Seen,3.0167543525480586e-11,2.386940848044634e-05
10,Unseen,2.933472124408022e-11,2.5812358482998836e-05
10,Unseen,2.2534292619186424e-11,2.2045649110261784e-05
10,Seen,2.751723709159579e-11,2.3738071390802218e-05
10,Unseen,1.891425195393484e-11,2.0481873179982383e-05
10,Seen,2.428619768219412e-11,2.3479856995793998e-05
10,Unseen,2.8186744505439766e-11,2.4114313238136665e-05
10,Unseen,2.5252411043333597e-11,2.4775646369801943e-05
10,Unseen,2.9347863584472826e-11,2.7308032388024266e-05
10,Unseen,2.69386246011976e-11,2.5792259821185627e-05
10,Seen,2.749820082099108e-11,2.448923802860038e-05
10,Unseen,4.726183104673878e-11,3.452266289660814e-05
10,Seen,3.191599628175213e-11,2.7180213866166026e-05
10,Unseen,3.765114471784727e-11,2.995584091656927e-05
10,Unseen,2.8685504311160065e-11,2.50501384456011e-05
10,Unseen,3.241111282568065e-11,2.8202237273985763e-05
10,Seen,3.016663359941147e-11,2.688751056674813e-05
10,Unseen,2.643005790287036e-11,2.579347923829113e-05
10,Unseen,3.264890696979235e-11,2.9024867709900475e-05
10,Seen,3.893239188419329e-11,2.8719437427924656e-05
10,Unseen,2.483122181374641e-11,2.3884543876404356e-05
10,Unseen,2.6294334647762748e-11,2.4818204236795955e-05
10,Unseen,3.516528201699026e-11,2.7948713050886454e-05
10,Unseen,3.289877768755147e-11,2.6383719721778487e-05
10,Unseen,1.870442985886537e-11,2.0913551770702873e-05
10,Unseen,3.593371995146757e-11,3.098081247922886e-05
10,Unseen,2.5155476890128452e-11,2.3933497336686193e-05
10,Seen,3.6749716710691565e-11,2.9250440460208114e-05
10,Seen,3.1458949240745904e-11,2.59270129012257e-05
10,Seen,4.1569203009370086e-11,2.8461381828030847e-05
10,Seen,4.440060460207573e-11,3.2162087989063465e-05
10,Seen,3.343286391166653e-11,2.6672186779665754e-05
10,Seen,2.813062516342674e-11,2.568619277434421e-05
10,Unseen,4.9895336852042966e-11,3.492142518265259e-05
10,Unseen,3.508323860779609e-11,2.8492322431107232e-05
10,Seen,4.7434478965049337e-11,2.9036253526570358e-05
10,Unseen,3.5776765479448254e-11,2.9520367535695558e-05
10,Seen,3.138564313845936e-11,2.8380667337513953e-05
10,Seen,3.912200908949855e-11,2.915837963288915e-05
10,Seen,2.698281947741149e-11,2.4238854194280552e-05
10,Seen,3.4277807030071076e-11,2.660544713772489e-05
10,Seen,3.053883551162385e-11,2.5895207916568292e-05
10,Seen,2.6176727939773624e-11,2.4629702098469777e-05
10,Seen,5.351733405165082e-11,3.272455968739751e-05
10,Seen,3.7740599679328424e-11,2.9157531646428354e-05
10,Unseen,3.2534732876696395e-11,2.8620182362113336e-05
10,Unseen,4.687871983592164e-11,3.428905057943476e-05
10,Unseen,3.321317180111748e-11,2.7805446429968915e-05
10,Seen,3.64753521807541e-11,3.0006136611417776e-05
10,Unseen,4.526847464917917e-11,3.370812260807886e-05
10,Unseen,4.4756339219538396e-11,3.132687925444399e-05
10,Seen,5.302890051609151e-11,3.428648650138937e-05
10,Seen,4.8788624814545695e-11,3.102714551230487e-05
10,Unseen,3.4810591055135374e-11,2.8841338851009078e-05
10,Seen,4.01745226425813e-11,3.0339485412634667e-05
10,Seen,3.200087614550485e-11,2.7609583633046232e-05
10,Seen,4.772914531739231e-11,3.104090600880347e-05
10,Unseen,4.6125452692696094e-11,3.414740679374542e-05
10,Unseen,3.3599993417192027e-11,2.9483333073183206e-05
10,Seen,4.856883256225961e-11,3.22114871656892e-05
10,Seen,5.2124886966333484e-11,3.381936986742147e-05
10,Seen,4.04160610954332e-11,3.177181896407216e-05
10,Unseen,3.516355023032891e-11,2.9647504685396548e-05
10,Unseen,3.592271668303088e-11,2.9051694900188678e-05
10,Unseen,3.3905071057151214e-11,2.5860326459711213e-05
10,Unseen,2.1424883013446493e-11,2.055483827888913e-05
10,Seen,3.507788089733791e-11,2.5534336333821704e-05
10,Seen,2.5367030748239455e-11,2.4614294890424703e-05
10,Unseen,3.944250414227738e-11,3.0797284245643404e-05
10,Unseen,5.977610183086405e-11,3.754010740371474e-05
10,Unseen,3.237833292008067e-11,2.8283930795530966e-05
10,Seen,3.428740610922784e-11,2.814056266733464e-05
10,Unseen,2.2229764384880234e-11,2.353214295416355e-05
10,Seen,2.824818275431043e-11,2.6285754978502692e-05
10,Seen,3.260057727255944e-11,2.849978499173823e-05
10,Seen,3.073808570200268e-11,2.6828584495511085e-05
10,Seen,3.2331485621081794e-11,2.5832620026619398e-05
10,Seen,3.247845724164638e-11,2.7903998250808533e-05
10,Seen,3.081059647966411e-11,2.594869747925269e-05
10,Unseen,3.548916325055075e-11,2.905850346710574e-05
10,Seen,4.12156933934477e-11,2.8633521503323762e-05
10,Unseen,4.156267599651653e-11,2.9781648357897408e-05
10,Seen,4.1256798132508765e-11,2.9039341544546125e-05
10,Seen,4.212212966217107e-11,3.007182155923906e-05
10,Seen,3.5277585533419323e-11,2.879728658010678e-05
10,Seen,3.314929612950753e-11,2.6817487474197768e-05
10,Seen,2.9674698295196123e-11,2.5641074214302517e-05
10,Seen,3.336718088213544e-11,2.6682767514599794e-05
10,Unseen,3.287671900797207e-11,2.616766016862338e-05
10,Seen,2.929402326587886e-11,2.5177569686061528e-05
10,Unseen,4.6551322813990724e-11,3.355400528315984e-05
10,Seen,2.5442315718555862e-11,2.4057017091614325e-05
10,Seen,5.099511177848508e-11,3.0674132040953514e-05
10,Seen,3.493989106829115e-11,2.799155456029966e-05
10,Unseen,5.241047065399001e-11,3.42096270086456e-05
10,Seen,4.197291083025401e-11,3.144329768575323e-05
10,Seen,2.945779848926508e-11,2.7076113858783072e-05
10,Unseen,3.355928258688555e-11,2.743081721724641e-05
10,Unseen,5.3459621877838714e-11,3.502976216305951e-05
10,Seen,4.035445140562897e-11,2.8965539412239147e-05
10,Seen,4.0710970307366536e-11,2.760335564620574e-05
10,Seen,4.435281421561948e-11,3.126812568168938e-05
10,Seen,3.53143452127204e-11,2.6959231589076638e-05
10,Unseen,6.043934383558821e-11,3.941370500571339e-05
10,Seen,3.339758797972953e-11,2.459724863011446e-05
10,Unseen,2.451251966999037e-11,2.4032356639000314e-05
10,Unseen,1.8028522777254302e-11,2.041639051997066e-05
10,Seen,3.722397832340205e-11,2.5169796758093976e-05
10,Seen,3.303972007632939e-11,2.564800829687939e-05
10,Seen,2.0393274043345954e-11,2.0461035126593463e-05
10,Unseen,2.1828435311434772e-11,2.441172433263294e-05
