window,n_subjects,mean_LocSeen,mean_ExpSeen,mean_ExpUnseen,friedman_p,p_LocSeen_vs_ExpSeen,diff_LocSeen_vs_ExpSeen,p_ExpSeen_vs_ExpUnseen,diff_ExpSeen_vs_ExpUnseen,p_LocSeen_vs_ExpUnseen,diff_LocSeen_vs_ExpUnseen
0.0-0.1,11,1.1288712328375898,1.150372411877187,1.1511330268435114,0.0859022330378764,0.0419921875,-0.021501179039597088,0.9658203125,-0.0007606149663245434,0.0673828125,-0.022261794005921633
0.1-0.2,11,1.1197955790808594,1.155139930799845,1.1578992003490851,0.012732005168250004,0.009765625,-0.035344351718985687,0.5771484375,-0.002759269549240137,0.0068359375,-0.03810362126822582
0.2-0.3,11,1.1106845264804759,1.1401776875064502,1.1481083203896811,0.0006338892117716599,0.0068359375,-0.029493161025974657,0.0830078125,-0.007930632883230825,0.0009765625,-0.03742379390920548
0.3-0.4,11,1.1449164381395855,1.1535074445938245,1.1658934385650364,0.14821506633752055,0.46484375,-0.008591006454238674,0.0673828125,-0.012385993971211894,0.1015625,-0.020977000425450566
0.4-0.5,11,1.1397182378044026,1.1324385718311205,1.1560663868306966,0.30672055757655525,0.7001953125,0.007279665973282234,0.009765625,-0.023627814999576134,0.4130859375,-0.0163481490262939
0.5-0.6,11,1.1250978292502878,1.1320912769108984,1.1290548707349501,0.30672055757655525,0.4130859375,-0.006993447660610597,0.7001953125,0.003036406175947783,0.9658203125,-0.003957041484662815
0.6-0.7,11,1.121005747074302,1.1422481469666452,1.1505883642936938,0.011625603038838514,0.0419921875,-0.02124239989234303,0.6376953125,-0.008340217327048654,0.0537109375,-0.029582617219391684
0.7-0.8,11,1.122573911693268,1.1399152951377933,1.1417895824967508,0.07843739051713058,0.1474609375,-0.01734138344452499,0.8984375,-0.0018742873589575706,0.0537109375,-0.019215670803482562
0.8-0.9,11,1.1354898005614453,1.1464267601418563,1.1460455559806746,0.059714415732185576,0.1474609375,-0.010936959580410672,0.46484375,0.00038120416118188463,0.2783203125,-0.010555755419228789
0.9-1.0,11,1.1266686581153946,1.1391059295706476,1.130939769381369,0.30672055757655525,0.3203125,-0.012437271455253106,0.1474609375,0.008166160189278647,0.6376953125,-0.004271111265974459
